date,total_events,conflict_events,severe_conflict_events,conflict_share,severe_conflict_share,rolling_mean,rolling_std,rolling_z,lag1_share
2024-01-31,157074,51484,27776,0.32776907699555624,0.1768338490138406,0.32317306700033904,0.005658276933006216,0.8122631765171239,0.32882737834565545
2024-02-01,156199,50517,26806,0.323414362447903,0.17161441494503807,0.3244303360456514,0.005544875369200009,-0.18322749026818794,0.32776907699555624
2024-02-02,141958,45951,25215,0.3236943321264036,0.1776229589033376,0.3251579960027233,0.004907010396045382,-0.29828016616784164,0.323414362447903
2024-02-03,92717,31537,17339,0.3401425844235685,0.187009933453412,0.32635525332045084,0.0025712302307462228,5.362153469670539,0.3236943321264036
2024-02-04,79787,27321,15418,0.342424204444333,0.1932395001692005,0.32865933078241455,0.00558443026235645,2.4648662469123823,0.3401425844235685
2024-02-05,133420,40843,21644,0.3061235197121871,0.16222455403987407,0.3308120636090918,0.0075547559044926715,-3.267947265142334,0.342424204444333
2024-02-06,153601,47819,25352,0.3113195877631005,0.1650510087824949,0.3274850654993724,0.012059084026137616,-1.3405228540769634,0.3061235197121871
2024-02-07,159175,49691,26182,0.3121784199780116,0.1644856290246584,0.32498395255900736,0.013467621358763008,-0.9508384769567014,0.3113195877631005
2024-02-08,157124,50031,26465,0.31841730098520915,0.16843384842544742,0.3227567158422153,0.014199539976031784,-0.30560249587880456,0.3121784199780116
2024-02-09,145198,46230,24425,0.3183928153280348,0.16821857050372593,0.3220428499189733,0.01428631281760166,-0.25549171696992456,0.31841730098520915
2024-02-10,91666,29836,16237,0.32548600353457113,0.17713219732507146,0.3212854903763493,0.014324644313386274,0.29323682084702746,0.3183928153280348
2024-02-11,79018,26491,14066,0.33525272722670785,0.17801007365410412,0.3191916931064925,0.0119898499717197,1.3395525513745639,0.32548600353457113
2024-02-12,132313,42345,22792,0.32003657992789825,0.17225820592080898,0.31816719636111745,0.009775812779038925,0.19122538545225423,0.33525272722670785
2024-02-13,150442,47914,25356,0.3184881881389506,0.16854335890243416,0.32015477639193335,0.008207620645761688,-0.20305376246200846,0.32003657992789825
2024-02-14,152626,47778,25267,0.3130397180034856,0.165548464874923,0.3211788621599119,0.007320814124411425,-1.1117812879972102,0.3184881881389506
2024-02-15,156488,49496,25391,0.31629262307652983,0.16225525279893666,0.3213019047349796,0.007149564654199739,-0.7006414936757387,0.3130397180034856
2024-02-16,155048,49401,25927,0.3186174603993602,0.1672191837366493,0.320998379319454,0.007335129158859376,-0.32459127419974165,0.31629262307652983
2024-02-17,99270,31014,16831,0.31242067089755216,0.1695476981968369,0.3210304714725005,0.007322309750681643,-1.1758312428871056,0.3186174603993602
2024-02-18,83149,26439,14469,0.31797135263202203,0.17401291657145607,0.3191639953814978,0.0076549340243815675,-0.1558005262588965,0.31242067089755216
2024-02-19,131686,41461,22354,0.31484744012271615,0.1697522895372325,0.31669522758225693,0.002929718209447864,-0.6307048417086566,0.31797135263202203
2024-02-20,155447,50368,27155,0.3240204056688132,0.17468976564359556,0.31595392189580235,0.0025788381386826413,3.1279527210387355,0.31484744012271615
2024-02-21,162299,52729,28182,0.32488801532973094,0.1736424746917726,0.3167442386857827,0.003961815399169069,2.055566911486147,0.3240204056688132
2024-02-22,159561,50644,26795,0.31739585487681826,0.167929506583689,0.3184368525895321,0.004595630520638656,-0.2265190180191319,0.32488801532973094
2024-02-23,154666,48554,26099,0.31392807727619515,0.16874426182871477,0.31859445713243045,0.004528263114101692,-1.0305010417136529,0.31739585487681826
2024-02-24,102827,32207,17928,0.31321540062434966,0.17435109455687708,0.31792454525769254,0.004859082549826797,-0.9691427517548009,0.31392807727619515
2024-02-25,83762,26541,14862,0.31686206155535923,0.1774312934266135,0.3180380780758065,0.004716235816414695,-0.24935490213490985,0.31321540062434966
2024-02-26,143858,44653,24475,0.3103963630802597,0.17013304786664626,0.31787960792199754,0.0047374404956716035,-1.579596587772441,0.31686206155535923
2024-02-27,164628,51191,27034,0.310949534708555,0.1642126491240858,0.3172437397730752,0.005456413174404239,-1.1535426045164552,0.3103963630802597
2024-02-28,167329,52488,27355,0.3136814299971912,0.163480329171871,0.31537647249303824,0.004965240434677957,-0.34138175545511223,0.310949534708555
2024-02-29,163549,51021,26617,0.3119615528068041,0.1627463329032889,0.3137755317312469,0.00265782862860183,-0.6825040956071915,0.3136814299971912
2024-03-01,157418,48805,25724,0.310034430624198,0.16341206215299395,0.312999202864102,0.0021736793846807334,-1.3639418309795726,0.3119615528068041
2024-03-02,93780,29680,15871,0.3164853913414374,0.16923651098315207,0.3124429676281024,0.0023843439244722276,1.6954029457934643,0.310034430624198
2024-03-03,81718,25702,13917,0.3145206686409359,0.17030519591766807,0.31291010915911494,0.0028380616617529504,0.5674857257421987,0.3164853913414374
2024-03-04,138075,42858,22757,0.3103965236284628,0.16481622306717364,0.31257562445705445,0.002398623840399099,-0.9084796006317755,0.3145206686409359
2024-03-05,160302,49610,25913,0.3094783595962621,0.16165113348554602,0.31257564739251203,0.002398599530124564,-1.2912900871322655,0.3103965236284628
2024-03-06,168219,52828,27156,0.3140430034657203,0.16143241845451464,0.3123654795193273,0.0026191421535470367,0.6404860248311267,0.3094783595962621
2024-03-07,165695,51053,27442,0.308114306406349,0.165617550318356,0.31241713287197437,0.0026527695644230705,-1.6220129042988098,0.3140430034657203
2024-03-08,152076,46410,24921,0.30517635918882663,0.16387201136273968,0.31186752624333797,0.00312024060090969,-2.144439455265265,0.308114306406349
2024-03-09,93462,29251,15975,0.3129721170101218,0.17092508185144764,0.31117351603828486,0.0040094749094038,0.4485876610970925,0.30517635918882663
2024-03-10,80404,24662,13493,0.30672603353067013,0.16781503407790657,0.31067161970523977,0.0034085916204646747,-1.1575414757464424,0.3129721170101218
2024-03-11,135978,40542,21522,0.2981511715130389,0.1582756034064334,0.30955810040377324,0.0032089452295889216,-3.5547284464545474,0.30672603353067013
2024-03-12,158152,49580,26668,0.3134958773837827,0.1686225909251859,0.30780876438728416,0.00531942689023717,1.069121376014434,0.2981511715130389
2024-03-13,154952,47749,25539,0.30815349269451187,0.1648187825907378,0.30838269549978703,0.005730441260834998,-0.039997409421445855,0.3134958773837827
2024-03-14,157280,48887,25508,0.3108278229908443,0.16218209562563582,0.30754133681818585,0.005165365409827854,0.6362543425108824,0.30815349269451187
2024-03-15,149592,45944,24034,0.30712872346114767,0.16066367185410985,0.3079289820445424,0.005315179745561679,-0.15056096344868816,0.3108278229908443
2024-03-16,89271,29003,16273,0.32488714140090286,0.18228764100323733,0.3082078912263025,0.005196565584732757,3.209667982177142,0.30712872346114767
2024-03-17,80540,26466,14818,0.32860690340203624,0.18398311398063075,0.30991003756784263,0.008136790800126577,2.2978181808364493,0.32488714140090286
2024-03-18,137142,44024,23333,0.3210103396479561,0.1701375216928439,0.31303587612089495,0.010553696278595358,0.7556085864660225,0.32860690340203624
2024-03-19,157695,50401,26409,0.31961064079393764,0.16746884809283744,0.3163014715687403,0.008521266266655206,0.38834242724541534,0.3210103396479561
2024-03-20,161172,50899,26488,0.315805474896384,0.16434616434616434,0.3171750091987624,0.008499114061833065,-0.16113847777718004,0.31961064079393764
2024-03-21,160409,50556,26823,0.3151693483532719,0.16721630332462642,0.31826814951331556,0.007588728625996488,-0.4083425976557069,0.315805474896384
2024-03-22,151494,48469,25987,0.31994006363288313,0.17153814672528284,0.3188883674222338,0.007036621242244175,0.149460397887482,0.3151693483532719
2024-03-23,91531,31355,17243,0.34256153652860777,0.18838426325507204,0.32071855887533884,0.004768889888008033,4.5803065632099855,0.31994006363288313
2024-03-24,82193,27840,15923,0.33871497572786,0.1937269597167642,0.32324347246501095,0.00958789285701218,1.6136499952159842,0.34256153652860777
2024-03-25,137364,45259,24019,0.32948225153606475,0.1748565854226726,0.3246874827972715,0.011162220489547611,0.4295533082582549,0.33871497572786
2024-03-26,154777,51230,26522,0.3309923309018782,0.1713562092558972,0.32589775592414416,0.011156359141540485,0.45665211321178006,0.32948225153606475
2024-03-27,151961,48762,25753,0.32088496390521254,0.16947111429906359,0.32752371165384997,0.010914110507875798,-0.6082719928341208,0.3309923309018782
2024-03-28,148572,46347,24510,0.31194976173168565,0.16497051934415638,0.32824935294082547,0.01014705918885878,-1.6063364671250138,0.32088496390521254
2024-03-29,127506,40889,22100,0.32068294825341553,0.17332517685442253,0.3277894119948846,0.010884899287174524,-0.6528736329092613,0.31194976173168565
2024-03-30,81601,26774,14641,0.3281087241577922,0.17942182081101948,0.32789553836924634,0.010798895873352114,0.019741443111041757,0.32068294825341553
2024-03-31,72582,24276,13314,0.3344630900223196,0.1834339092336943,0.3258308508877013,0.00870641830199522,0.991479944472698,0.3281087241577922
2024-04-01,119531,39990,21917,0.3345575624733333,0.18335829199119894,0.3252234386440526,0.007753951143773978,1.2037893528353594,0.3344630900223196
2024-04-02,151259,51361,27800,0.339556654480064,0.18379071658545937,0.3259484830636624,0.00842665517448976,1.6148959622316061,0.3345575624733333
2024-04-03,153119,49913,26279,0.32597522188624534,0.17162468406925332,0.32717195786054615,0.00979212948249224,-0.12221406757748715,0.339556654480064
2024-04-04,152052,48294,25342,0.31761502643832373,0.16666666666666666,0.3278991375721222,0.009429732679832926,-1.0906047374802854,0.32597522188624534
