date,total_events,conflict_events,conflict_share,rolling_z
2024-01-21,78894,27329,0.3464015007478389,2.6604760987330325
2024-02-03,92717,31537,0.3401425844235685,5.362153469670539
2024-02-04,79787,27321,0.342424204444333,2.4648662469123823
2024-02-20,155447,50368,0.3240204056688132,3.1279527210387355
2024-02-21,162299,52729,0.32488801532973094,2.055566911486147
2024-03-16,89271,29003,0.32488714140090286,3.209667982177142
2024-03-17,80540,26466,0.32860690340203624,2.2978181808364493
2024-03-23,91531,31355,0.34256153652860777,4.5803065632099855
2024-04-13,92813,33083,0.35644791139172316,2.2128752314902296
2024-04-14,95964,37521,0.39099037138927095,3.5945859768662705
2024-05-12,73724,25713,0.34877380500244154,2.0313308529818572
2024-05-31,151568,49816,0.3286709595693022,3.583336415033243
2024-06-15,107460,33988,0.316285129350456,3.5990109647874244
2024-06-16,92554,30095,0.32516152732458886,2.776488574860355
2024-06-23,73098,24468,0.3347287203480259,2.225587722908243
