country_code,count,share
USA,6677,0.22836719337848005
ISR,3786,0.12948902113687666
PSE,2275,0.07780969970586224
IRN,1338,0.04576236404678843
RUS,1303,0.04456529174362132
GBR,1231,0.04210274300567754
UKR,1003,0.03430467200218893
NGA,783,0.026780217525138518
IND,764,0.0261303782748478
SYR,649,0.02219714070729872
PAK,524,0.017921882481701894
IRQ,471,0.01610917299404884
CHN,463,0.015835556467610645
AUS,377,0.012894178808400027
IRL,350,0.011970723031671113
