country_code,count,share
USA,9415,0.2960598723310588
ISR,2054,0.06458916386277161
IRN,1558,0.04899217005754536
PSE,1467,0.04613062482311877
IRQ,1306,0.04106789094682557
GBR,1297,0.040784880978585576
RUS,1076,0.03383541398069243
SYR,1038,0.03264048300367913
UKR,846,0.02660293701455929
NGA,776,0.024401748372692683
IND,768,0.024150183956479356
CAN,662,0.02081695544165278
CHN,573,0.01801830131127952
PAK,547,0.017200716958586208
AUS,496,0.01559699380522625
